date,ind,rain,ind,maxt,ind,mint,gmin,soil
11-Jun-41,0,0, , , , , , 
12-Jun-41,0,0, , , , , , 
13-Jun-41,0,0, , , , , , 
14-Jun-41,4,0, , , , , , 
15-Jun-41,0,0, , , , , , 
16-Jun-41,0,0, , , , , , 
17-Jun-41,0,3.8, , , , , , 
18-Jun-41,0,0, , , , , , 
19-Jun-41,0,0, , , , , , 
20-Jun-41,0,0, , , , , , 
21-Jun-41,0,0, , , , , , 
22-Jun-41,0,0, , , , , , 
23-Jun-41,0,0, , , , , , 
24-Jun-41,4,0, , , , , , 
25-Jun-41,0,1.6, , , , , , 
26-Jun-41,0,1.3, , , , , , 
27-Jun-41,4,0, , , , , , 
28-Jun-41,0,0, , , , , , 
29-Jun-41,0,0, , , , , , 
30-Jun-41,0,0.4, , , , , , 
01-Jul-41,0,0, , , , , , 
02-Jul-41,0,0.1, , , , , , 
03-Jul-41,0,0, , , , , , 
04-Jul-41,0,0, , , , , , 
05-Jul-41,0,0.4, , , , , , 
06-Jul-41,0,5.4, , , , , , 
07-Jul-41,0,3.9, , , , , , 
08-Jul-41,0,0, , , , , , 
09-Jul-41,0,0, , , , , , 
10-Jul-41,0,3, , , , , , 
11-Jul-41,0,5, , , , , , 
12-Jul-41,0,0, , , , , , 
13-Jul-41,4,0, , , , , , 
14-Jul-41,0,0, , , , , , 
15-Jul-41,0,0.9, , , , , , 
16-Jul-41,0,0, , , , , , 
17-Jul-41,0,3.8, , , , , , 
18-Jul-41,0,1.3, , , , , , 
19-Jul-41,4,0, , , , , , 
20-Jul-41,0,0, , , , , , 
21-Jul-41,0,0, , , , , , 
22-Jul-41,0,0, , , , , , 
23-Jul-41,0,0, , , , , , 
24-Jul-41,0,6.5, , , , , , 
25-Jul-41,0,1.6, , , , , , 
26-Jul-41,4,0, , , , , , 
27-Jul-41,0,0, , , , , , 
28-Jul-41,0,0.2, , , , , , 
29-Jul-41,0,1.1, , , , , , 
30-Jul-41,0,0.3, , , , , , 
31-Jul-41,0,0, , , , , , 
01-Aug-41,0,0, , , , , , 
02-Aug-41,0,0, , , , , , 
03-Aug-41,0,2.1, , , , , , 
04-Aug-41,0,0.5, , , , , , 
05-Aug-41,0,0.4, , , , , , 
06-Aug-41,0,0.4, , , , , , 
07-Aug-41,0,1.2, , , , , , 
08-Aug-41,0,2, , , , , , 
09-Aug-41,0,3.3, , , , , , 
10-Aug-41,0,0, , , , , , 
11-Aug-41,0,3.3, , , , , , 
12-Aug-41,0,5.3, , , , , , 
13-Aug-41,0,0.8, , , , , , 
14-Aug-41,0,0, , , , , , 
15-Aug-41,0,3.8, , , , , , 
16-Aug-41,0,0, , , , , , 
17-Aug-41,0,1.1, , , , , , 
18-Aug-41,0,1.2, , , , , , 
19-Aug-41,0,4.1, , , , , , 
20-Aug-41,0,2, , , , , , 
21-Aug-41,0,0.6, , , , , , 
22-Aug-41,0,0.4, , , , , , 
23-Aug-41,0,0, , , , , , 
24-Aug-41,0,4.5, , , , , , 
25-Aug-41,0,7.1, , , , , , 
26-Aug-41,0,0.8, , , , , , 
27-Aug-41,0,5.1, , , , , , 
28-Aug-41,0,3.4, , , , , , 
29-Aug-41,0,0.2, , , , , , 
30-Aug-41,0,0, , , , , , 
31-Aug-41,0,2.9, , , , , , 
01-Sep-41,4,0, , , , , , 
02-Sep-41,0,0, , , , , , 
03-Sep-41,0,0, , , , , , 
04-Sep-41,0,0, , , , , , 
05-Sep-41,0,2.8, , , , , , 
06-Sep-41,0,0, , , , , , 
07-Sep-41,0,0, , , , , , 
08-Sep-41,0,0.2, , , , , , 
09-Sep-41,0,0, , , , , , 
10-Sep-41,0,0.8, , , , , , 
11-Sep-41,0,0, , , , , , 
12-Sep-41,0,0, , , , , , 
13-Sep-41,0,0, , , , , , 
14-Sep-41,4,0, , , , , , 
15-Sep-41,0,0, , , , , , 
16-Sep-41,4,0, , , , , , 
17-Sep-41,4,0, , , , , , 
18-Sep-41,4,0, , , , , , 
19-Sep-41,0,0, , , , , , 
20-Sep-41,0,0, , , , , , 
21-Sep-41,0,0, , , , , , 
22-Sep-41,0,0, , , , , , 
23-Sep-41,0,0, , , , , , 
24-Sep-41,0,1, , , , , , 
25-Sep-41,4,0, , , , , , 
26-Sep-41,0,3.2, , , , , , 
27-Sep-41,0,2.2, , , , , , 
28-Sep-41,0,2, , , , , , 
29-Sep-41,0,2.1, , , , , , 
30-Sep-41,4,0, , , , , , 
01-Oct-41,0,0, , , , , , 
02-Oct-41,0,0, , , , , , 
03-Oct-41,0,0, , , , , , 
04-Oct-41,4,0, , , , , , 
05-Oct-41,0,4, , , , , , 
06-Oct-41,0,2.4, , , , , , 
07-Oct-41,0,0.4, , , , , , 
08-Oct-41,0,1.3, , , , , , 
09-Oct-41,0,4.9, , , , , , 
10-Oct-41,0,0.2, , , , , , 
11-Oct-41,0,0, , , , , , 
12-Oct-41,0,0.1, , , , , , 
13-Oct-41,0,6.4, , , , , , 
14-Oct-41,0,0.1, , , , , , 
15-Oct-41,0,4.8, , , , , , 
16-Oct-41,0,0.8, , , , , , 
17-Oct-41,0,15, , , , , , 
18-Oct-41,0,0.7, , , , , , 
19-Oct-41,0,0.6, , , , , , 
20-Oct-41,4,0, , , , , , 
21-Oct-41,0,0, , , , , , 
22-Oct-41,0,0, , , , , , 
23-Oct-41,4,0, , , , , , 
24-Oct-41,0,0, , , , , , 
25-Oct-41,4,0, , , , , , 
26-Oct-41,0,0, , , , , , 
27-Oct-41,0,0, , , , , , 
28-Oct-41,0,0, , , , , , 
29-Oct-41,0,0, , , , , , 
30-Oct-41,0,7.9, , , , , , 
31-Oct-41,0,0.3, , , , , , 
01-Nov-41,0,5, , , , , , 
02-Nov-41,0,0.3, , , , , , 
03-Nov-41,0,0.3, , , , , , 
04-Nov-41,0,1.5, , , , , , 
05-Nov-41,4,0, , , , , , 
06-Nov-41,0,2.1, , , , , , 
07-Nov-41,0,0.4, , , , , , 
08-Nov-41,0,0.3, , , , , , 
09-Nov-41,0,7.9, , , , , , 
10-Nov-41,0,9.3, , , , , , 
11-Nov-41,0,0, , , , , , 
12-Nov-41,0,0, , , , , , 
13-Nov-41,0,1, , , , , , 
14-Nov-41,0,0.5, , , , , , 
15-Nov-41,0,1.3, , , , , , 
16-Nov-41,0,9.9, , , , , , 
17-Nov-41,0,1, , , , , , 
18-Nov-41,0,0, , , , , , 
19-Nov-41,0,0.1, , , , , , 
20-Nov-41,0,11.4, , , , , , 
21-Nov-41,0,10.2, , , , , , 
22-Nov-41,0,10.4, , , , , , 
23-Nov-41,0,0.7, , , , , , 
24-Nov-41,0,0.4, , , , , , 
25-Nov-41,0,0, , , , , , 
26-Nov-41,4,0, , , , , , 
27-Nov-41,0,1.6, , , , , , 
28-Nov-41,0,0.2, , , , , , 
29-Nov-41,0,0.3, , , , , , 
30-Nov-41,0,2.9, , , , , , 
