time,close
2017-08-18,4285.08
2017-08-19,4108.37
2017-08-20,4139.98
2017-08-21,4086.29
2017-08-22,4016.0
2017-08-23,4040.0
2017-08-24,4114.01
2017-08-25,4316.01
2017-08-26,4280.68
2017-08-27,4337.44
2017-08-28,4310.01
2017-08-29,4386.69
2017-08-30,4587.48
2017-08-31,4555.14
2017-09-01,4724.89
2017-09-02,4834.91
2017-09-03,4472.14
2017-09-04,4509.08
2017-09-05,4100.11
2017-09-06,4366.47
2017-09-07,4619.77
2017-09-08,4691.61
2017-09-09,4282.8
2017-09-10,4258.81
2017-09-11,4130.37
2017-09-12,4208.47
2017-09-13,4163.72
2017-09-14,3944.69
2017-09-15,3189.02
2017-09-16,3700.0
2017-09-17,3714.95
2017-09-18,3699.99
2017-09-19,4035.01
2017-09-20,3910.04
2017-09-21,3900.0
2017-09-22,3609.99
2017-09-23,3595.87
2017-09-24,3780.0
2017-09-25,3660.02
2017-09-26,3920.75
2017-09-27,3882.35
2017-09-28,4193.0
2017-09-29,4174.5
2017-09-30,4174.69
2017-10-01,4378.51
2017-10-02,4378.48
2017-10-03,4380.0
2017-10-04,4310.0
2017-10-05,4208.59
2017-10-06,4292.43
2017-10-07,4369.0
2017-10-08,4423.0
2017-10-09,4640.0
2017-10-10,4786.95
2017-10-11,4783.06
2017-10-12,4821.43
2017-10-13,5430.0
2017-10-14,5649.98
2017-10-15,5869.99
2017-10-16,5709.99
2017-10-17,5760.02
2017-10-18,5595.0
2017-10-19,5512.06
2017-10-20,5683.9
2017-10-21,6010.01
2017-10-22,6024.97
2017-10-23,5950.02
2017-10-24,5915.93
2017-10-25,5477.03
2017-10-26,5689.99
2017-10-27,5861.77
2017-10-28,5768.83
2017-10-29,5719.64
2017-10-30,6169.98
2017-10-31,6120.5
2017-11-01,6463.0
2017-11-02,6753.98
2017-11-03,7019.98
2017-11-04,7115.04
2017-11-05,7357.09
2017-11-06,7345.01
2017-11-07,6960.12
2017-11-08,7064.04
2017-11-09,7303.0
2017-11-10,7079.99
2017-11-11,6506.98
2017-11-12,6245.05
2017-11-13,5811.03
2017-11-14,6465.99
2017-11-15,6574.99
2017-11-16,7240.06
2017-11-17,7864.5
2017-11-18,7699.19
2017-11-19,7761.94
2017-11-20,8038.0
2017-11-21,8212.0
2017-11-22,8119.51
2017-11-23,8205.92
2017-11-24,8019.99
2017-11-25,8138.0
2017-11-26,8700.01
2017-11-27,9128.02
2017-11-28,9650.0
2017-11-29,9896.8
2017-11-30,9687.88
2017-12-01,9838.96
2017-12-02,10782.99
2017-12-03,10890.01
2017-12-04,11165.41
2017-12-05,11571.01
2017-12-06,11699.99
2017-12-07,13570.01
2017-12-08,16599.01
2017-12-09,15880.0
2017-12-10,14700.0
2017-12-11,14899.98
2017-12-12,16560.0
2017-12-13,16341.5
2017-12-14,16000.0
2017-12-15,16340.02
2017-12-16,17516.8
2017-12-17,19160.0
2017-12-18,18897.79
2017-12-19,18856.25
2017-12-20,17295.2
2017-12-21,16488.98
2017-12-22,15492.64
2017-12-23,13326.61
2017-12-24,13300.0
2017-12-25,13500.0
2017-12-26,13699.34
2017-12-27,15689.01
2017-12-28,15459.99
2017-12-29,14182.11
2017-12-30,14378.9
2017-12-31,12440.01
2018-01-01,13716.36
2018-01-02,13380.0
2018-01-03,14675.11
2018-01-04,14919.51
2018-01-05,15059.54
2018-01-06,16960.39
2018-01-07,17069.79
2018-01-08,16150.03
2018-01-09,14902.54
2018-01-10,14400.0
2018-01-11,14907.09
2018-01-12,13238.78
2018-01-13,13740.01
2018-01-14,14210.0
2018-01-15,13474.99
2018-01-16,13539.93
2018-01-17,10900.0
2018-01-18,10988.79
2018-01-19,10961.97
2018-01-20,11474.98
2018-01-21,12799.94
2018-01-22,11530.0
2018-01-23,10760.05
2018-01-24,10799.18
2018-01-25,11349.99
2018-01-26,11175.27
2018-01-27,11089.0
2018-01-28,11491.0
2018-01-29,11879.95
2018-01-30,11251.0
2018-01-31,10237.51
2018-02-01,10285.1
2018-02-02,9224.52
2018-02-03,8873.03
2018-02-04,9199.96
2018-02-05,8184.81
2018-02-06,6939.99
2018-02-07,7652.14
2018-02-08,7599.0
2018-02-09,7784.02
2018-02-10,8695.0
2018-02-11,8533.98
2018-02-12,8063.88
2018-02-13,8903.0
2018-02-14,8539.9
2018-02-15,9449.99
2018-02-16,10000.09
2018-02-17,10159.98
2018-02-18,11039.55
2018-02-19,10383.43
2018-02-20,11153.0
2018-02-21,11200.99
2018-02-22,10437.6
2018-02-23,9811.04
2018-02-24,10131.04
2018-02-25,9694.51
2018-02-26,9590.0
2018-02-27,10324.0
